name_cn,name_eg,assets,debts,mk,loan %,mk/net assets,mk/assets
美国爱克斯龙电力公司,ExelonCorp.(exc),"1,263.13",914.42,341.76,72.39%,98.01%,27.06%
eBay,"eBay,Inc.(ebay)",200.14,171.12,340.21,85.50%,1172.33%,169.99%
信达思公司,CintasCorp.(ctas),79.78,47.43,335.92,59.45%,1038.39%,421.06%
罗斯百货有限公司,"RossStores,Inc.(rost)",113.22,84.55,328.49,74.68%,1145.76%,290.13%
科斯塔,"CoStarGroup,Inc.(csgp)",64.79,12.55,325.76,19.37%,623.58%,502.79%
豪国际,"MarriottInternational,Inc.(mar)",256.8,257.59,323.93,100.31%,-41003.80%,126.14%
沃尔格林联合博姿,"WalgreensBootsAlliance,Inc.(wba)",864.44,651.23,320.01,75.34%,150.09%,37.02%
西雅图遗传学,"SeattleGenetics,Inc.(sgen)",21.65,3.5,314.83,16.17%,1734.60%,1454.18%
IDEXX实验室,"IDEXXLaboratories,Inc.(idxx)",19.61,16.87,301.74,86.03%,11012.41%,1538.70%
新思科技,"Synopsys,Inc.(snps)",76.63,30.62,300.38,39.96%,652.86%,391.99%
帕卡公司,"PACCAR,Inc.(pcar)",264.06,166.3,291.6,62.98%,298.28%,110.43%
沛齐公司,"Paychex,Inc.(payx)",86.65,58.83,282.91,67.89%,1016.93%,326.50%
科磊公司,KLACorp.(klac),92.8,65.99,278.21,71.11%,1037.71%,299.80%
铿腾电子科技有限公司,"CadenceDesignSystems,Inc.(cdns)",39.99,17.43,278.12,43.59%,1232.80%,695.47%
安西斯公司,"ANSYS,Inc.(anss)",46.72,12.34,261.73,26.41%,761.29%,560.21%
微芯科技公司,"MicrochipTechnology,Inc.(mchp)",170.28,115.27,255.99,67.69%,465.35%,150.33%
阿莱技术公司,"AlignTechnology,Inc.(algn)",40.26,11.81,252.88,29.33%,888.86%,628.12%
快扣,FastenalCo.(fast),40.85,13.02,252.63,31.87%,907.76%,618.43%
亚力兄制药,"AlexionPharmaceuticals,Inc.(alxn)",167.03,62.12,251.12,37.19%,239.37%,150.34%
赛灵思公司,"Xilinx,Inc.(xlnx)",54.45,31.25,246.07,57.39%,1060.65%,451.92%
科帕特,"Copart,Inc.(cprt)",34.55,9.66,243.37,27.96%,977.78%,704.40%
威瑞信公司,"VeriSign,Inc.(vrsn)",18.2,32.2,235.08,176.92%,-1679.14%,1291.65%
思佳讯,"SkyworksSolutions,Inc.(swks)",50.72,8.9,227.19,17.55%,543.26%,447.93%
天狼星XM,"SiriusXMHoldings,Inc.(siri)",124.65,131.33,223.96,105.36%,-3352.69%,179.67%
